dates,Deaths,New case
1/31/2020,0,0
2/10/2020,0,2
2/20/2020,0,0
2/29/2020,0,0
3/10/2020,0,22
3/20/2020,5,130
3/30/2020,25,863
4/10/2020,169,5338
4/20/2020,338,10860
4/30/2020,531,15786
5/10/2020,1030,29888
5/20/2020,1188,42715
5/31/2020,1835,70994
6/10/2020,2773,90704
6/20/2020,5199,118218
6/30/2020,3942,174053
7/10/2020,4651,229805
7/20/2020,5820,323926
7/31/2020,8330,525303
8/6/2020,4857,325666
